id,nameKa,nameEn,descriptionKa,descriptionEn,categoryId,imageUrl,imageKey,isRose,isAvailable,featured,createdAt,updatedAt,priceMin,priceMax,priceOnRequest,unitType,variants,bloomsPerStemMin,bloomsPerStemMax,stemDisplayRule,published
270006,ევკალიპტი,Eucalyptus,,,210001,/manus-storage/products/img_7429_10c193a3.webp,,0,1,0,2026-06-23 20:42:20,2026-07-16 16:03:35,4.00,4.00,0,single stem,[],1,1,,1
300001,"    კურკუმა","    Curcuma",,,210001,/manus-storage/products/img_7723_9c276fac.webp,,0,1,0,2026-06-25 15:21:03,2026-07-16 16:03:43,20.00,20.00,0,single stem,[],1,1,,1
300002,“ყაყაჩო”,"    Papaver",,,210001,/manus-storage/products/img_7722_31673563.webp,,0,1,0,2026-06-25 15:24:16,2026-07-16 16:03:53,9.00,9.00,0,single stem,[],1,1,,1
330001,ლილია ლურჯი,Blue Lily,,,210001,/manus-storage/products/7a89f1ee-7ee1-475c-9b46-c5e3206b555c_62c96cdc.webp,,0,1,0,2026-06-25 15:31:07,2026-07-16 16:04:02,30.00,30.00,0,single stem,[],1,1,,1
360001,იმპერატორის შროშანი ,Crown Imperial,,,210001,/manus-storage/products/img_7727_f898d6e0.webp,,0,0,0,2026-06-25 15:41:40,2026-07-17 13:48:42,45.00,45.00,0,single stem,[],1,1,,1
390001,კრემი🍯,Cream🍯,8 ტოტი სპრეი ვარდი,8 pieces of spray rose,180001,/manus-storage/products/a21897f7-a29c-4f2f-99b8-8bf99ae1e2a5_6dc4efa4.webp,,0,1,0,2026-06-27 06:13:06,2026-07-16 16:04:22,85.00,85.00,0,single stem,[],1,1,,1
420001,სიყვარულის თაიგული,Bouquet of Love❤️,25 ცალი სპრეი ვარდი ,25 Spray Roses ,180001,/manus-storage/products/img_8300_93518ec7.webp,,0,1,1,2026-06-28 18:07:51,2026-07-16 23:18:41,250.00,250.00,0,single stem,[],1,1,,1
420002,ვარდისფერი ოცნება,Pink Dream,,,180001,/manus-storage/products/img_7902_85c5990a.webp,,0,1,0,2026-06-28 18:10:25,2026-07-26 09:57:49,100.00,100.00,0,single stem,[],1,1,1 large rose bloom,1
450001,ჟოლო,Raspberry,,,180001,/manus-storage/products/img_7245_757f35e9.webp,,0,1,0,2026-06-28 18:26:29,2026-07-16 16:04:53,105.00,105.00,0,single stem,[],1,1,,1
450002," მზიანი სიყვარული",Sunny Love,,,180001,/manus-storage/products/939c450b-480a-4700-bb8d-326c50576432_f506599d.webp,,0,1,0,2026-06-28 18:29:33,2026-07-16 16:05:09,80.00,80.00,0,single stem,[],1,1,,1
480001,ბედნიერების ფერები,Blooming Bliss,,,180001,/manus-storage/products/67a6031d-2f8f-48c8-bfc0-073be550624e_57780b43.webp,,0,1,0,2026-06-28 18:34:39,2026-07-16 16:50:36,75.00,75.00,0,single stem,[],1,1,,1
480002,"    ვარდების ოკეანე ",Ocean of Roses,,,180001,/manus-storage/products/c57d492e-23de-447c-b930-d57e5f30326b_27519c38.webp,,0,1,0,2026-06-28 18:38:56,2026-07-16 16:05:32,250.00,250.00,0,single stem,[],1,1,,1
510001,ვარდისფერი ღრუბელი,Pink Cloud ,,,180001,/manus-storage/products/img_7692_a7701270.webp,,0,1,0,2026-06-28 18:53:19,2026-07-16 16:05:42,350.00,350.00,0,single stem,[],1,1,1 large rose bloom,1
510002,ლოლიპოპ,Lollipop,,,180001,/manus-storage/products/img_7661_a070a888.webp,,0,1,0,2026-06-28 18:56:37,2026-07-16 16:05:52,400.00,400.00,0,single stem,[],1,1,,1
510003,ლილიები,Lily Bloom ,,,180001,/manus-storage/products/img_7651_f7a36ab0.webp,,0,1,0,2026-06-28 18:58:56,2026-07-16 16:06:08,290.00,290.00,0,single stem,[],1,1,,1
510004,ბამბის ნაყინი,Cotton Candy ,,,180001,/manus-storage/products/img_7479_564eeb70.webp,,0,1,0,2026-06-28 19:01:47,2026-07-26 09:57:28,75.00,75.00,0,single stem,[],1,1,,1
510005,ლურჯი,Blue ,4 ცალი ლილია,Lily-4 piece,180001,/manus-storage/products/img_8311_895e574d.webp,,0,1,0,2026-06-28 19:03:25,2026-07-16 16:06:59,100.00,100.00,0,single stem,[],1,1,,1
510006,მზის სხივი,Sunbeam,,,180001,/manus-storage/products/img_8312_442c568e.webp,,0,0,0,2026-06-28 19:04:52,2026-07-17 13:48:54,100.00,100.00,0,single stem,[],1,1,,1
